,Species,Order,Male_dominance,Co_dominance,Female_dominance,
1,Perodicticus_edwardsi,117,,1,,1
2,Loris_lydekkerianus,116,,,1,1
3,Daubentonia_madagascariensis,115,,,1,1
4,Phaner_pallescens,114,,,1,1
5,Lepilemur_leucopus,113,,,1,1
6,Lepilemur_ruficaudatus,112,,1,,1
7,Microcebus_myoxinus,111,,1,,1
8,Microcebus_danfossi,110,,,1,1
9,Microcebus_lehilahytsara,109,,2,,2
10,Microcebus_margotmarshae,108,,1,,1
11,Microcebus_bongolavensis,107,,1,,1
12,Microcebus_ravelobensis,106,,2,,2
13,Microcebus_mamiratra,105,,,1,1
14,Microcebus_murinus,104,,2,1,3
15,Varecia_variegata,103,,1,2,3
16,Varecia_rubra,102,,,3,3
17,Lemur_catta,101,,,3,3
18,Hapalemur_griseus,100,,1,,1
19,Hapalemur_meridionalis,99,,,1,1
20,Hapalemur_alaotrensis,98,,1,,1
21,Eulemur_macaco,97,,1,,1
22,Eulemur_flavifrons,96,,,1,1
23,Eulemur_coronatus,95,,1,,1
24,Eulemur_rubriventer,94,,1,,1
25,Eulemur_rufifrons,93,,1,,1
26,Eulemur_fulvus,92,,1,,1
27,Indri_indri,91,,,2,2
28,Propithecus_coronatus,90,,3,,3
29,Propithecus_diadema,89,,1,2,3
30,Propithecus_edwardsi,88,,,1,1
31,Propithecus_coquereli,87,,,2,2
32,Propithecus_verreauxi,86,,1,4,5
33,Avahi_occidentalis,85,,,1,1
34,Cacajao_calvus,84,,1,,1
35,Cacajao_melanocephalus,83,,1,,1
36,Cacajao_ouakary,82,,2,,2
37,Chiropotes_sagulatus,81,,2,,2
38,Pithecia_aequatorialis,80,,1,,1
39,Pithecia_pithecia,79,,1,,1
40,Callicebus_moloch,78,,1,,1
41,Callicebus_cupreus,77,,1,,1
42,Callicebus_coimbrai,76,,1,,1
43,Callithrix_penicillata,75,,1,,1
44,Callithrix_jacchus,74,,2,,2
45,Callithrix_flaviceps,73,,1,,1
46,Cebuella_pygmaea,72,,1,,1
47,Callimico_goeldii,71,,1,,1
48,Leontopithecus_chrysomelas,70,,1,,1
49,Leontopithecus_rosalia,69,,3,,3
50,Saguinus_bicolor,68,,1,,1
51,Saguinus_imperator,67,1,1,,2
52,Saguinus_mystax,66,2,3,,5
53,Leontocebus_fuscicollis,65,,1,,1
54,Leontocebus_weddelli,64,,1,,1
55,Leontocebus_tripartitus,63,,,1,1
56,Saimiri_oerstedii,62,,1,,1
57,Saimiri_sciureus,61,1,,1,2
58,Saimiri_collinsi,60,,1,,1
59,Saimiri_boliviensis,59,,,1,1
60,Sapajus_apella,58,,4,,4
61,Sapajus_libidinosus,57,,2,,2
62,Sapajus_cay,56,,1,,1
63,Cebus_capucinus,55,1,3,,4
64,Cebus_olivaceus,54,,1,,1
65,Cebus_albifrons,53,,1,,1
66,Aotus_azarae,52,,1,,1
67,Alouatta_palliata,51,4,,,4
68,Alouatta_pigra,50,1,,,1
69,Alouatta_caraya,49,1,,,1
70,Alouatta_seniculus,48,1,,,1
71,Ateles_geoffroyi,47,3,,,3
72,Ateles_hybridus,46,2,,,2
73,Ateles_belzebuth,45,1,1,,2
74,Brachyteles_arachnoides,44,,1,,1
75,Lagothrix_lagotricha,43,1,1,,2
76,Lagothrix_poeppigii,42,1,,,1
77,Gorilla_gorilla,41,1,,,1
78,Gorilla_beringei,40,2,2,,4
79,Pan_troglodytes,39,2,,,2
80,Pan_paniscus,38,,3,,3
81,Macaca_sylvanus,37,7,,,7
82,Macaca_fascicularis,36,3,3,,6
83,Macaca_mulatta,35,2,2,,4
84,Macaca_fuscata,34,4,1,,5
85,Macaca_cyclopis,33,,1,,1
86,Macaca_arctoides,32,1,1,,2
87,Macaca_assamensis,31,,2,,2
88,Macaca_thibetana,30,2,,,2
89,Macaca_radiata,29,1,2,,3
90,Macaca_tonkeana,28,1,1,,2
91,Macaca_maura,27,1,,,1
92,Macaca_nemestrina,26,,1,,1
93,Macaca_silenus,25,1,,,1
94,Macaca_sinica,24,1,,,1
95,Theropithecus_gelada,23,1,,,1
96,Papio_ursinus,22,3,,,3
97,Papio_cynocephalus,21,2,,,2
98,Papio_papio,20,,2,,2
99,Papio_anubis,19,2,,,2
100,Papio_hamadryas,18,3,,,3
101,Lophocebus_ougandae,17,,1,,1
102,Cercocebus_torquatus,16,1,,,1
103,Cercocebus_atys,15,4,,,4
104,Mandrillus_sphinx,14,2,,,2
105,Erythrocebus_patas,13,1,3,,4
106,Cercopithecus_solatus,12,1,,,1
107,Chlorocebus_pygerythrus,11,1,8,,9
108,Cercopithecus_petaurista,10,1,,,1
109,Cercopithecus_campbelli,9,1,,,1
110,Cercopithecus_diana,8,,1,,1
111,Miopithecus_talapoin,7,1,5,3,9
112,Trachypithecus_obscurus,6,2,,,2
113,Trachypithecus_cristatus,5,1,,,1
114,Presbytis_thomasi,4,3,,,3
115,Pygathrix_nemaeus,3,1,,,1
116,Nasalis_larvatus,2,1,,,1
117,Rhinopithecus_bieti,1,1,,,1