"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"1","perc_won","sexratio","No",0.43826275,0.535833165,"confident"
"2","perc_won","sexratio","Yes",0.34537681,0.64582315,"confident"
"3","strict three way","sexratio","No",0.47665243,1.07419105,"confident"
"4","strict three way","sexratio","Yes",0.66222617,1.36471745,"confident"
"5","strict female dominance","sexratio","No",-0.563904385,0.39927137,"not"
"6","strict female dominance","sexratio","Yes",-0.849964745,0.587645795,"not"
"7","strict male dominance","sexratio","No",-1.07578475,-0.508366635,"confident"
"8","strict male dominance","sexratio","Yes",-1.58467015,-0.760635535,"confident"
"9","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.37438944,-0.270108305,"confident"
"10","perc_won","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-2.26425385,-1.45249895,"confident"
"11","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.716860775,-0.215710915,"confident"
"12","strict three way","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-0.874284335,-0.27045469,"confident"
"13","strict female dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","No",-0.674070235,0.289692635,"not"
"14","strict female dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",-1.08882235,0.25318171,"not"
"15","strict male dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","No",0.1958721,0.715047515,"confident"
"16","strict male dominance","SexualDimorphism_MaleWeight_over_FemaleWeight","Yes",0.258564575,0.81112,"confident"
"17","perc_won","CanineDimorphism","No",-1.15426125,-0.988066125,"confident"
"18","perc_won","CanineDimorphism","Yes",-1.64082495,-0.834393535,"confident"
"19","strict three way","CanineDimorphism","No",-1.41400935,-0.654772865,"confident"
"20","strict three way","CanineDimorphism","Yes",-1.63035935,-0.68096475,"confident"
"21","strict female dominance","CanineDimorphism","No",-0.714941265,0.29894162,"not"
"22","strict female dominance","CanineDimorphism","Yes",-1.35482165,0.137995135,"not"
"23","strict male dominance","CanineDimorphism","No",0.63910581,1.38563515,"confident"
"24","strict male dominance","CanineDimorphism","Yes",0.856303425,1.93754915,"confident"
"25","perc_won","female_average_relatedness","No",-0.125381135,0.029632185,"not"
"26","perc_won","female_average_relatedness","Yes",0.0718737735,1.00198455,"confident"
"27","strict three way","female_average_relatedness","No",-0.34703752,0.74011862,"not"
"28","strict three way","female_average_relatedness","Yes",-0.164627125,1.12940815,"not"
"29","strict female dominance","female_average_relatedness","No",-0.66612031,0.62213205,"not"
"30","strict female dominance","female_average_relatedness","Yes",-1.19808735,1.0201911,"not"
"31","strict male dominance","female_average_relatedness","No",-0.589991205,0.30347665,"not"
"32","strict male dominance","female_average_relatedness","Yes",-1.0813019,0.209087985,"not"
"33","perc_won","Synchrony","No",-1.0040585,-0.780434115,"confident"
"34","perc_won","Synchrony","Yes",-2.635743,-1.65300215,"confident"
"35","strict three way","Synchrony","No",-0.48540305,0.21237794,"not"
"36","strict three way","Synchrony","Yes",-0.716553005,0.267421485,"not"
"37","strict female dominance","Synchrony","No",-0.0256833745,0.98093892,"not"
"38","strict female dominance","Synchrony","Yes",-0.10791119,1.47052675,"not"
"39","strict male dominance","Synchrony","No",-0.11629416,0.544548895,"not"
"40","strict male dominance","Synchrony","Yes",-0.16225501,0.811206705,"not"
"41","perc_won","r_seasonality_value","No",0.088409457,0.241027055,"confident"
"42","perc_won","r_seasonality_value","Yes",0.040039073,1.16951715,"confident"
"43","strict three way","r_seasonality_value","No",-0.1147986,0.709890165,"not"
"44","strict three way","r_seasonality_value","Yes",-0.00147496710000001,1.2008471,"not"
"45","strict female dominance","r_seasonality_value","No",-0.594510765,0.6050905,"not"
"46","strict female dominance","r_seasonality_value","Yes",-1.08347095,1.1799923,"not"
"47","strict male dominance","r_seasonality_value","No",-0.618266715,0.13032465,"not"
"48","strict male dominance","r_seasonality_value","Yes",-1.1842371,-0.0345315305,"confident"
"49","perc_won","M_skew_index","No",-0.28174526,-0.13731355,"confident"
"50","perc_won","M_skew_index","Yes",-0.37420197,0.540236665,"not"
"51","strict three way","M_skew_index","No",-0.751614875,0.1114631,"not"
"52","strict three way","M_skew_index","Yes",-0.734083485,0.16507394,"not"
"53","strict female dominance","M_skew_index","No",-0.456185155,0.68163566,"not"
"54","strict female dominance","M_skew_index","Yes",-0.709650995,1.14796995,"not"
"55","strict male dominance","M_skew_index","No",-0.113917645,0.71724063,"not"
"56","strict male dominance","M_skew_index","Yes",-0.0983087465,0.944093595,"not"
"57","perc_won","env_harshness","No",-0.34523115,-0.22419027,"confident"
"58","perc_won","env_harshness","Yes",0.093539295,0.871721665,"confident"
"59","strict three way","env_harshness","No",-0.751700145,-0.084066654,"confident"
"60","strict three way","env_harshness","Yes",-0.709811355,0.0320313745,"not"
"61","strict female dominance","env_harshness","No",-0.78997734,0.34765002,"not"
"62","strict female dominance","env_harshness","Yes",-1.3145419,0.41534352,"not"
"63","strict male dominance","env_harshness","No",0.0832905285,0.67698632,"confident"
"64","strict male dominance","env_harshness","Yes",-0.0805392865,0.73189567,"not"
"65","perc_won","rainfall_unpredictability","No",-0.0316884605,0.0766521115,"not"
"66","perc_won","rainfall_unpredictability","Yes",0.030680339,1.10975165,"confident"
"67","strict three way","rainfall_unpredictability","No",-0.527455115,0.0924129285,"not"
"68","strict three way","rainfall_unpredictability","Yes",-0.47658411,0.255986985,"not"
"69","strict female dominance","rainfall_unpredictability","No",-0.62108863,0.43145618,"not"
"70","strict female dominance","rainfall_unpredictability","Yes",-1.0665409,0.57227801,"not"
"71","strict male dominance","rainfall_unpredictability","No",-0.102811225,0.499660825,"not"
"72","strict male dominance","rainfall_unpredictability","Yes",-0.266454305,0.48754242,"not"
"73","perc_won","rainfall_annualvariation","No",-0.25670082,-0.14862882,"confident"
"74","perc_won","rainfall_annualvariation","Yes",-0.72327474,-0.0372956775,"confident"
"75","strict three way","rainfall_annualvariation","No",-0.125126055,0.52567698,"not"
"76","strict three way","rainfall_annualvariation","Yes",-0.45326651,0.393983605,"not"
"77","strict female dominance","rainfall_annualvariation","No",-0.43960013,0.702771645,"not"
"78","strict female dominance","rainfall_annualvariation","Yes",-0.55395916,1.17382355,"not"
"79","strict male dominance","rainfall_annualvariation","No",-0.481060005,0.14945345,"not"
"80","strict male dominance","rainfall_annualvariation","Yes",-0.37142083,0.53428023,"not"
"81","perc_won","NDVI_Seasonality","No",-0.31025954,-0.20869417,"confident"
"82","perc_won","NDVI_Seasonality","Yes",-0.517115235,0.21534434,"not"
"83","strict three way","NDVI_Seasonality","No",-0.204724645,0.390780775,"not"
"84","strict three way","NDVI_Seasonality","Yes",-0.371618375,0.361776405,"not"
"85","strict female dominance","NDVI_Seasonality","No",-0.105732965,0.964357895,"not"
"86","strict female dominance","NDVI_Seasonality","Yes",0.0576362735,1.75296235,"confident"
"87","strict male dominance","NDVI_Seasonality","No",-0.29440847,0.25675667,"not"
"88","strict male dominance","NDVI_Seasonality","Yes",-0.28177056,0.46824798,"not"
"89","perc_won","female_canine_height","No",-0.435874585,-0.296561345,"confident"
"90","perc_won","female_canine_height","Yes",-1.1812109,-0.249412505,"confident"
"91","strict three way","female_canine_height","No",-0.900768495,-0.26849989,"confident"
"92","strict three way","female_canine_height","Yes",-1.0424907,-0.314802315,"confident"
"93","strict female dominance","female_canine_height","No",-1.1631616,-0.16688618,"confident"
"94","strict female dominance","female_canine_height","Yes",-1.9290646,-0.417927245,"confident"
"95","strict male dominance","female_canine_height","No",0.136175115,0.76057378,"confident"
"96","strict male dominance","female_canine_height","Yes",0.19989976,0.960296425,"confident"
"97","perc_won","male_canine_height","No",-0.821441,-0.65026007,"confident"
"98","perc_won","male_canine_height","Yes",-1.15078405,-0.34742992,"confident"
"99","strict three way","male_canine_height","No",-1.4550564,-0.64566037,"confident"
"100","strict three way","male_canine_height","Yes",-1.56202155,-0.65494759,"confident"
"101","strict female dominance","male_canine_height","No",-1.1224964,-0.0727301385,"confident"
"102","strict female dominance","male_canine_height","Yes",-2.09400495,-0.336400475,"confident"
"103","strict male dominance","male_canine_height","No",0.49922681,1.22594705,"confident"
"104","strict male dominance","male_canine_height","Yes",0.573052085,1.461175,"confident"
"105","perc_won","females","No",-0.635257265,-0.521000695,"confident"
"106","perc_won","females","Yes",-1.2773597,-0.860161415,"confident"
"107","strict three way","females","No",-0.642258415,-0.10640713,"confident"
"108","strict three way","females","Yes",-0.777690915,-0.13521091,"confident"
"109","strict female dominance","females","No",-0.38113333,0.56809508,"not"
"110","strict female dominance","females","Yes",-0.54050482,0.84354897,"not"
"111","strict male dominance","females","No",0.145143885,0.682272485,"confident"
"112","strict male dominance","females","Yes",0.17798003,0.90127153,"confident"
"113","perc_won","males","No",-0.232535825,-0.133786525,"confident"
"114","perc_won","males","Yes",-0.570155595,-0.23528705,"confident"
"115","strict three way","males","No",-0.070924569,0.41734074,"not"
"116","strict three way","males","Yes",-0.0140603705,0.601486205,"not"
"117","strict female dominance","males","No",-0.43728983,0.54478782,"not"
"118","strict female dominance","males","Yes",-0.67458181,0.658580415,"not"
"119","strict male dominance","males","No",-0.413270775,0.0863630935,"not"
"120","strict male dominance","males","Yes",-0.646251745,-0.00450119404999995,"confident"
"121","perc_won","homerange_overlap","No",-0.083991891,0.022192656,"not"
"122","perc_won","homerange_overlap","Yes",-1.0150332,-0.32843653,"confident"
"123","strict three way","homerange_overlap","No",-0.153587525,0.451991545,"not"
"124","strict three way","homerange_overlap","Yes",-0.16556961,0.5568437,"not"
"125","strict female dominance","homerange_overlap","No",-0.165773055,0.96089233,"not"
"126","strict female dominance","homerange_overlap","Yes",0.03097246,1.8144735,"confident"
"127","strict male dominance","homerange_overlap","No",-0.36713304,0.196085585,"not"
"128","strict male dominance","homerange_overlap","Yes",-0.469400945,0.200062535,"not"
"129","perc_won","perc_aggression_mm","No",0.37651467,0.4873312,"confident"
"130","perc_won","perc_aggression_mm","Yes",-0.17899069,0.2188313,"not"
"131","strict three way","perc_aggression_mm","No",0.049866788,1.08631385,"confident"
"132","strict three way","perc_aggression_mm","Yes",0.04045818,1.0990013,"confident"
"133","strict female dominance","perc_aggression_mm","No",-0.653511335,0.58052334,"not"
"134","strict female dominance","perc_aggression_mm","Yes",-1.2417854,0.83046516,"not"
"135","strict male dominance","perc_aggression_mm","No",-0.84896201,0.0331581410000002,"not"
"136","strict male dominance","perc_aggression_mm","Yes",-1.12565615,-0.0187859054999999,"confident"
"137","perc_won","sexualreceptivity_hours","No",0.145595205,0.29307303,"confident"
"138","perc_won","sexualreceptivity_hours","Yes",-0.23044244,0.81679784,"not"
"139","strict three way","sexualreceptivity_hours","No",-0.333013485,0.405183255,"not"
"140","strict three way","sexualreceptivity_hours","Yes",-0.44288917,0.393682555,"not"
"141","strict female dominance","sexualreceptivity_hours","No",-0.640513845,0.369080185,"not"
"142","strict female dominance","sexualreceptivity_hours","Yes",-1.25546295,0.29867556,"not"
"143","strict male dominance","sexualreceptivity_hours","No",-0.40569856,0.27522004,"not"
"144","strict male dominance","sexualreceptivity_hours","Yes",-0.41117391,0.351435035,"not"
"145","perc_won","receptive_synchrony","No",-0.88584432,-0.69305506,"confident"
"146","perc_won","receptive_synchrony","Yes",-1.96489615,-1.06670385,"confident"
"147","strict three way","receptive_synchrony","No",-0.1508465,0.434204875,"not"
"148","strict three way","receptive_synchrony","Yes",-0.158297905,0.54260255,"not"
"149","strict female dominance","receptive_synchrony","No",-0.159098545,0.8669135,"not"
"150","strict female dominance","receptive_synchrony","Yes",-0.14223464,1.41393205,"not"
"151","strict male dominance","receptive_synchrony","No",-0.3832081,0.223752105,"not"
"152","strict male dominance","receptive_synchrony","Yes",-0.50083767,0.21561212,"not"
"153","perc_won","body_mass","No",-0.140992715,-0.00452382969999998,"confident"
"154","perc_won","body_mass","Yes",-1.11941855,-0.21727292,"confident"
"155","strict three way","body_mass","No",-0.730087435,0.0258719745,"not"
"156","strict three way","body_mass","Yes",-0.732773105,0.0194982940000001,"not"
"157","strict female dominance","body_mass","No",-0.95301514,0.22810922,"not"
"158","strict female dominance","body_mass","Yes",-2.1496395,0.20260818,"not"
"159","strict male dominance","body_mass","No",-0.0770995365,0.62684193,"not"
"160","strict male dominance","body_mass","Yes",-0.034394645,0.74034989,"not"
"161","perc_won","relative_testes_mass","No",-0.313711335,-0.192571945,"confident"
"162","perc_won","relative_testes_mass","Yes",-0.72790826,0.24210713,"not"
"163","strict three way","relative_testes_mass","No",-0.49469562,0.10901524,"not"
"164","strict three way","relative_testes_mass","Yes",-0.45313963,0.24746629,"not"
"165","strict female dominance","relative_testes_mass","No",-0.58184016,0.454357275,"not"
"166","strict female dominance","relative_testes_mass","Yes",-0.964749115,0.726291175,"not"
"167","strict male dominance","relative_testes_mass","No",-0.11740451,0.474688535,"not"
"168","strict male dominance","relative_testes_mass","Yes",-0.197425775,0.515484735,"not"
"169","perc_won","relative_femalecaninesize","No",-0.133976115,-0.00622463159999997,"confident"
"170","perc_won","relative_femalecaninesize","Yes",-1.3194514,-0.424891895,"confident"
"171","strict three way","relative_femalecaninesize","No",-0.0167082095,0.580735485,"not"
"172","strict three way","relative_femalecaninesize","Yes",-0.0485355705,0.587246255,"not"
"173","strict female dominance","relative_femalecaninesize","No",-0.69908109,0.273179225,"not"
"174","strict female dominance","relative_femalecaninesize","Yes",-1.02251325,0.383910915,"not"
"175","strict male dominance","relative_femalecaninesize","No",-0.62969569,-0.0329737359999999,"confident"
"176","strict male dominance","relative_femalecaninesize","Yes",-0.70210111,-0.0141686299999999,"confident"
"177","perc_won","SocOrgPMK P minus G","No",0.120163215398133,0.288886244503986,"confident"
"178","perc_won","SocOrgPMK P minus G","Yes",-0.20548816524152,0.417858606006939,"not"
"179","strict three way","SocOrgPMK P minus G","No",0.0395794421495689,0.406245382793759,"confident"
"180","strict three way","SocOrgPMK P minus G","Yes",0.0127386244583617,0.389571839409561,"confident"
"181","strict female dominance","SocOrgPMK P minus G","No",0.126814601109746,0.431583710737442,"confident"
"182","strict female dominance","SocOrgPMK P minus G","Yes",-0.187302529975077,0.310444351943424,"not"
"183","strict male dominance","SocOrgPMK P minus G","No",-0.301657028437799,0.0187201180823025,"not"
"184","strict male dominance","SocOrgPMK P minus G","Yes",-0.390110591910998,0.0140198812118945,"not"
"185","perc_won","MatSysPMK PAN minus MON","No",-0.14484112596309,0.00871364558066561,"not"
"186","perc_won","MatSysPMK POL minus MON","No",-0.342146285239836,-0.185641135244294,"confident"
"187","perc_won","MatSysPMK PRO minus MON","No",-0.30196554031947,-0.155142340737442,"confident"
"188","perc_won","MatSysPMK POL minus PAN","No",-0.239678362408507,-0.153962684737945,"confident"
"189","perc_won","MatSysPMK PRO minus PAN","No",-0.19436415655875,-0.121344726962482,"confident"
"190","perc_won","MatSysPMK PRO minus POL","No",0.011045365774399,0.067595049840613,"confident"
"191","perc_won","MatSysPMK PAN minus MON","Yes",-0.346774524017619,0.486211029632106,"not"
"192","perc_won","MatSysPMK POL minus MON","Yes",-0.507359388189056,0.161552155211515,"not"
"193","perc_won","MatSysPMK PRO minus MON","Yes",-0.33836483799445,0.290918466498236,"not"
"194","perc_won","MatSysPMK POL minus PAN","Yes",-0.603236769137753,0.106711897823099,"not"
"195","perc_won","MatSysPMK PRO minus PAN","Yes",-0.463671522275644,0.2629149331215,"not"
"196","perc_won","MatSysPMK PRO minus POL","Yes",-0.0299529973035396,0.340863446399898,"not"
"197","strict three way","MatSysPMK PAN minus MON","No",-0.286162774972688,0.119494644824019,"not"
"198","strict three way","MatSysPMK POL minus MON","No",-0.466640566228721,-0.0943902109442591,"confident"
"199","strict three way","MatSysPMK PRO minus MON","No",-0.333794812426541,-0.00157393683734025,"confident"
"200","strict three way","MatSysPMK POL minus PAN","No",-0.382681103532377,-0.0273099679976595,"confident"
"201","strict three way","MatSysPMK PRO minus PAN","No",-0.253456582910346,0.0788301396566151,"not"
"202","strict three way","MatSysPMK PRO minus POL","No",-0.0111267937017396,0.243775789660581,"not"
"203","strict three way","MatSysPMK PAN minus MON","Yes",-0.291157041892791,0.135023796034294,"not"
"204","strict three way","MatSysPMK POL minus MON","Yes",-0.456861164984208,-0.0896786121708902,"confident"
"205","strict three way","MatSysPMK PRO minus MON","Yes",-0.310255117460141,0.035999556301039,"not"
"206","strict three way","MatSysPMK POL minus PAN","Yes",-0.387323988578037,-0.00811107472074112,"confident"
"207","strict three way","MatSysPMK PRO minus PAN","Yes",-0.241094340056191,0.119639463393863,"not"
"208","strict three way","MatSysPMK PRO minus POL","Yes",0.00953506488829759,0.270861114217511,"confident"
"209","strict female dominance","MatSysPMK PAN minus MON","No",-0.207868280546944,0.167487923979477,"not"
"210","strict female dominance","MatSysPMK POL minus MON","No",-0.296353114164302,0.0190985731961515,"not"
"211","strict female dominance","MatSysPMK PRO minus MON","No",-0.361953866764373,-0.0859577089091707,"confident"
"212","strict female dominance","MatSysPMK POL minus PAN","No",-0.264074581086452,0.0354430892078564,"not"
"213","strict female dominance","MatSysPMK PRO minus PAN","No",-0.336977449732571,-0.0671116781349367,"confident"
"214","strict female dominance","MatSysPMK PRO minus POL","No",-0.180472347978685,0.00610962273105517,"not"
"215","strict female dominance","MatSysPMK PAN minus MON","Yes",-0.263620662750102,0.253488365295568,"not"
"216","strict female dominance","MatSysPMK POL minus MON","Yes",-0.278958748089979,0.215740599205586,"not"
"217","strict female dominance","MatSysPMK PRO minus MON","Yes",-0.228684122715171,0.267801585468904,"not"
"218","strict female dominance","MatSysPMK POL minus PAN","Yes",-0.274810175354528,0.232226776352007,"not"
